PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WAR,LEBRON CONTRACT VALUE,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Nikola Jokic,2021-22,DEN,Post Scorer,"2,476",C,27,7.8,5.68,2.12,15.5,"45,075,896.00",6.53,5.11,1.42
Giannis Antetokounmpo,2021-22,MIL,Roll + Cut Big,"2,204",PF,27,6.54,4.37,2.17,12.3,"35,774,351.00",6.58,4.97,1.61
Joel Embiid,2021-22,PHI,Post Scorer,"2,297",C,28,6.39,4.29,2.09,12.7,"36,726,497.00",5.63,4.36,1.27
Rudy Gobert,2021-22,UTA,Roll + Cut Big,"2,120",C,29,5.32,1.57,3.75,10.4,"30,141,735.00",5.04,1.72,3.32
Jayson Tatum,2021-22,BOS,Shot Creator,"2,731",SF,24,5.11,3.85,1.26,13,"37,823,038.00",3.97,3.22,0.75
Stephen Curry,2021-22,GSW,Primary Ball Handler,"2,211",PG,34,4.4,4,0.4,9.6,"27,908,729.00",3.85,3.66,0.19
Al Horford,2021-22,BOS,Stretch Big,"2,005",C,35,4.12,0.57,3.55,8.4,"24,305,125.00",3.05,0.59,2.46
Kevin Durant,2021-22,BRK,Shot Creator,"2,047",PF,33,3.95,3.52,0.43,8.3,"24,197,503.00",2.85,3.15,-0.3
Kristaps Porzingis,2021-22,DAL/WAS,Versatile Big,"1,481",PF,26,3.91,2.09,1.82,6,"17,388,063.00",3.75,2.54,1.21
Chris Paul,2021-22,PHO,Primary Ball Handler,"2,139",PG,36,3.83,2.75,1.08,8.5,"24,814,882.00",4.13,2.51,1.62
Ja Morant,2021-22,MEM,Slasher,"1,889",PG,22,3.45,3.93,-0.48,7.1,"20,624,613.00",2.34,3.11,-0.77
Jimmy Butler,2021-22,MIA,Slasher,"1,931",SF,32,3.4,3.1,0.3,7.2,"20,917,896.00",3.92,2.98,0.94
Hassan Whiteside,2021-22,UTA,Roll + Cut Big,"1,162",C,32,3.39,0.94,2.45,4.3,"12,576,062.00",2.6,0.13,2.47
LeBron James,2021-22,LAL,Stretch Big,"2,084",SF,37,3.37,3.07,0.3,7.7,"22,460,076.00",3.05,3.39,-0.34
Dejounte Murray,2021-22,SAS,Slasher,"2,366",PG,25,3.35,2.77,0.58,8.8,"25,407,816.00",3.09,2.36,0.73
Jrue Holiday,2021-22,MIL,Shot Creator,"2,208",PG,31,3.32,2.3,1.03,8.1,"23,600,602.00",2,1.83,0.17
Myles Turner,2021-22,IND,Stretch Big,"1,235",C,26,3.27,0.01,3.26,4.5,"13,083,168.00",1.94,-0.28,2.23
James Harden,2021-22,BRK/PHI,Shot Creator,"2,420",PG-SG,32,3.13,3.44,-0.31,8.6,"25,020,191.00",3.13,3.06,0.07
Jaren Jackson Jr.,2021-22,MEM,Stretch Big,"2,126",PF,22,3.1,0.45,2.65,7.5,"21,879,823.00",2.44,0.31,2.13
Luka Doncic,2021-22,DAL,Shot Creator,"2,301",PG,23,3,3.48,-0.48,8,"23,252,371.00",4.68,4.24,0.44
Trae Young,2021-22,ATL,Shot Creator,"2,652",PG,23,2.93,5.15,-2.21,9.1,"26,472,454.00",3.05,4.99,-1.94
