Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,54,1213,14.6,0.541,0.221,0.234,13.2,19.1,16.1,8.3,1.4,3.5,12.9,16.4,,0.9,1.5,2.5,0.097,,-1.6,-0.1,-1.7,0.1,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,14.9,0.512,0.276,0.247,12.3,22,17.1,14.1,1.8,2.4,13.3,21.2,,0,0.5,0.5,0.056,,-1.5,-0.1,-1.5,0.1,achiupr01
1,Precious Achiuwa,PF,24,NYK,29,776,14.3,0.566,0.173,0.223,13.7,17.4,15.6,5,1.2,4.1,12.5,13.6,,0.9,1,1.9,0.12,,-1.7,-0.1,-1.8,0,achiupr01
2,Bam Adebayo,C,26,MIA,50,1731,19.7,0.573,0.016,0.412,7.1,27.1,17,19.6,1.5,2.7,12.2,25.9,,1.9,2.9,4.8,0.133,,0.5,1.5,2,1.8,adebaba01
3,Ochai Agbaji,SG,23,TOT,60,1147,8,0.52,0.552,0.092,4.2,9.8,7,6.3,1.3,2.5,11.7,13.1,,-0.1,0.5,0.4,0.018,,-2.9,-0.6,-3.5,-0.4,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,1003,8,0.531,0.57,0.08,3.9,9.8,6.9,6.1,1.3,2.5,11.7,12.1,,0.1,0.5,0.5,0.025,,-2.6,-0.4,-3,-0.3,agbajoc01
3,Ochai Agbaji,SG,23,TOR,9,144,8,0.471,0.474,0.14,6.7,9.3,8,7.5,1,2.4,11.7,20.3,,-0.2,0.1,-0.1,-0.029,,-4.6,-1.9,-6.6,-0.2,agbajoc01
4,Santi Aldama,PF,23,MEM,49,1236,12.4,0.527,0.524,0.143,5.1,20,12.3,13.2,1.3,2.6,10.9,18.9,,-0.2,1.6,1.4,0.053,,-1.1,0.3,-0.8,0.4,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,61,1403,10,0.558,0.636,0.116,2.1,7.3,4.9,15.2,1.7,2.1,12.9,14.1,,0.7,2.2,2.9,0.1,,-1.6,1.7,0.1,0.7,alexani01
6,Grayson Allen,SG,28,PHO,55,1830,12.9,0.673,0.637,0.229,2.3,10.4,6.6,12.3,1.2,1.7,12.3,13.8,,3.1,1.5,4.6,0.121,,0.5,0,0.5,1.1,allengr01
7,Jarrett Allen,C,25,CLE,55,1717,21.4,0.661,0.009,0.381,12.1,24.8,18.5,13.1,1.2,3.3,12.4,19,,4.5,3.1,7.7,0.214,,1.6,1.4,3,2.2,allenja01
8,Jose Alvarado,PG,25,NOP,40,679,13.3,0.537,0.578,0.164,2.6,11.6,7.2,15.5,3.2,2,10.6,18.5,,0.3,1.1,1.4,0.096,,-1.4,1.9,0.5,0.4,alvarjo01
9,Kyle Anderson,PF,30,MIN,59,1291,12.5,0.526,0.116,0.346,4.2,13.5,9.2,25,1.8,2.1,17.6,14.4,,0.9,2.4,3.3,0.123,,-1.5,2.8,1.2,1.1,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,59,2060,30.2,0.657,0.094,0.593,8.2,26.4,17.6,31.2,1.7,2.4,12.6,32.9,,8,3.1,11,0.257,,6.8,2.3,9.1,5.8,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,26,123,3.8,0.482,0.042,0.083,5.5,3.4,4.4,13,1.2,2.7,30.7,12.5,,-0.2,0.1,-0.1,-0.03,,-7.5,-0.7,-8.2,-0.2,antetth01
12,Cole Anthony,PG,23,ORL,60,1375,14.4,0.544,0.34,0.323,4.3,16.2,10.2,20.3,1.8,1.8,13.5,23.6,,0.6,2,2.7,0.093,,-1,0.7,-0.3,0.6,anthoco01
13,OG Anunoby,SF,26,TOT,41,1400,13.5,0.609,0.475,0.176,3,10.5,6.7,9.3,1.9,1.8,10.7,17.6,,1.3,1.2,2.5,0.087,,-0.6,0.5,-0.1,0.7,anunoog01
13,OG Anunoby,SF,26,TOR,27,900,12.5,0.598,0.508,0.143,2.9,10.2,6.5,11.2,1.5,1.3,11.2,18.2,,0.6,0.6,1.1,0.06,,-1,-0.6,-1.5,0.1,anunoog01
13,OG Anunoby,SF,26,NYK,14,500,15.2,0.63,0.408,0.242,3.3,11.2,7.2,6,2.5,2.8,9.9,16.5,,0.7,0.7,1.4,0.137,,0.1,2.3,2.4,0.6,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,45,-1.9,0,1,0,0,19.9,9.9,10.3,2.2,0,25,7.6,,-0.1,0.1,-0.1,-0.091,,-11.6,1.9,-9.8,-0.1,arcidry01
15,Deni Avdija,SF,23,WAS,57,1618,14.8,0.605,0.294,0.328,3.7,21.8,12.5,18.4,1.3,1.2,15.2,19.6,,1.3,1,2.3,0.068,,-0.6,-0.1,-0.7,0.5,avdijde01
16,Deandre Ayton,C,25,POR,40,1263,17.5,0.587,0,0.11,10.2,28.9,18.9,9.1,1.6,2.2,12.4,18.7,,1.1,1.6,2.8,0.105,,-0.4,0,-0.4,0.5,aytonde01
17,Udoka Azubuike,C,24,PHO,14,107,13.6,0.652,0,0.5,12.3,21,16.9,3.8,0.5,4.9,13,12.4,,0.1,0.1,0.3,0.121,,-2.5,0,-2.5,0,azubuud01
18,Ibou Badji,C,21,POR,18,203,8.4,0.62,0,0.526,9.9,17.3,13.4,8.5,0.5,8.9,37.4,7.8,,0,0.2,0.2,0.051,,-7.7,2.2,-5.6,-0.2,badjiib01
19,Marvin Bagley III,C,24,TOT,43,909,19,0.621,0.048,0.331,13.6,18,15.8,8.4,0.8,2.5,11.2,21.1,,1.7,0.5,2.2,0.114,,0.6,-1.6,-1,0.2,baglema01
19,Marvin Bagley III,C,24,DET,26,478,18,0.638,0.033,0.337,10.6,17.3,13.8,8.8,0.5,2.4,12.2,21,,0.9,0.2,1.1,0.107,,0.4,-1.6,-1.2,0.1,baglema01
19,Marvin Bagley III,C,24,WAS,17,431,20.1,0.603,0.064,0.326,17,18.9,17.9,7.9,1.2,2.6,10.1,21.2,,0.8,0.3,1.1,0.122,,0.9,-1.6,-0.8,0.1,baglema01
20,Amari Bailey,PG,19,CHO,3,15,2.1,0.317,0.429,0.286,14.3,0,7.4,9.4,0,0,11.3,25.9,,-0.1,0,-0.1,-0.225,,-6.3,-6.8,-13.1,0,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,20,152,9.2,0.526,0.574,0.255,4.8,26,15.1,6.7,0.6,2.1,10.3,16,,0,0.1,0.1,0.023,,-3.9,-1.3,-5.2,-0.1,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,711,20.7,0.561,0.466,0.246,4.4,13.7,8.9,42.5,2.8,0.5,15,33.9,,0.5,0.5,1.1,0.073,,3.6,-0.5,3.2,0.9,ballla01
23,Mo Bamba,C,25,PHI,38,422,16,0.548,0.264,0.264,14,24.4,19.1,8.7,1.5,7.9,16.2,16.9,,0.3,0.7,1,0.113,,-2.3,0.7,-1.5,0,bambamo01
24,Paolo Banchero,PF,21,ORL,59,2053,17.6,0.549,0.237,0.41,3.7,19.3,11.5,24.5,1.4,1.4,12.7,29.7,,1.1,2.9,4,0.093,,1.5,0,1.5,1.8,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,18.9,0.597,0.46,0.201,2.8,12.1,7.3,28.6,1.5,1.4,11.6,28.9,,1.5,1.3,2.8,0.105,,3.4,0.1,3.5,1.8,banede01
26,Dalano Banton,PG,24,TOT,32,306,12.6,0.508,0.316,0.368,7.6,14.7,11.1,15.1,1.6,1.8,13.4,22,,0,0.4,0.4,0.056,,-2.3,0.3,-2,0,bantoda01
26,Dalano Banton,PG,24,BOS,24,171,9.8,0.468,0.314,0.392,7.9,13.6,10.9,14,1.4,1.6,14.3,17.7,,0,0.2,0.2,0.065,,-4.9,0.7,-4.2,-0.1,bantoda01
26,Dalano Banton,PG,24,POR,8,135,16.1,0.539,0.318,0.348,7.1,16.1,11.3,16.4,1.8,2,12.6,27.5,,0,0.1,0.1,0.045,,1,-0.2,0.8,0.1,bantoda01
27,Dominick Barlow,PF,20,SAS,24,307,14.7,0.531,0.083,0.405,11.5,18.3,14.8,11.4,1.4,3.3,4.8,14.2,,0.5,0.3,0.7,0.117,,-1.4,-0.2,-1.6,0,barlodo01
28,Harrison Barnes,PF,31,SAC,59,1745,11.8,0.627,0.549,0.259,3,8.4,5.6,5,1.2,0.5,6.7,15,,2.4,0.9,3.3,0.09,,-0.6,-1.3,-1.9,0,barneha02
29,Scottie Barnes,SG,22,TOR,60,2094,19.4,0.566,0.314,0.266,7.2,18.8,12.9,25.6,1.7,3.7,13.6,24.8,,2.4,2.3,4.7,0.108,,2.8,0.9,3.7,3,barnesc01
30,RJ Barrett,SG,23,TOT,50,1568,15.9,0.576,0.304,0.327,3,15.8,9.3,15.5,0.8,1,10.5,25.7,,1.4,1.2,2.6,0.08,,0.5,-1.4,-0.9,0.4,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,14.3,0.536,0.335,0.32,2.7,13.4,8.1,12.7,0.8,1.1,9.6,27.3,,0.4,0.7,1.1,0.067,,-0.4,-1.7,-2.1,0,barrerj01
30,RJ Barrett,SG,23,TOR,24,802,17.4,0.62,0.269,0.334,3.2,18,10.5,18.1,0.9,0.9,11.5,24.1,,1,0.5,1.5,0.092,,1.4,-1.1,0.3,0.5,barrerj01
31,Charles Bassey,C,23,SAS,19,205,17.6,0.739,0.025,0.15,12,28.4,20.1,14,1.8,7,26,11.8,,0.3,0.3,0.6,0.148,,-1.9,3,1.1,0.2,bassech01
32,Emoni Bates,SF,20,CLE,10,76,3.6,0.348,0.8,0.08,1.5,12.8,7.3,9.9,0.6,2.3,3.7,15.4,,-0.1,0.1,0,-0.022,,-5.3,-0.8,-6.1,-0.1,batesem01
33,Keita Bates-Diop,SF,28,TOT,46,638,11.4,0.538,0.425,0.25,5.6,12.4,9.2,7.4,1.8,3,7.8,13,,0.5,0.7,1.2,0.088,,-1.5,0.2,-1.2,0.1,bateske01
33,Keita Bates-Diop,SF,28,PHO,39,597,11.2,0.525,0.427,0.24,6,12.7,9.5,7.4,1.8,2.9,7.3,12.9,,0.4,0.7,1.1,0.086,,-1.6,0.2,-1.3,0.1,bateske01
33,Keita Bates-Diop,SF,28,BRK,7,41,14.3,0.723,0.4,0.4,0,8.2,4,6.8,1.2,4.4,14.5,14.4,,0.1,0,0.1,0.112,,0,0.7,0.7,0,bateske01
34,Nicolas Batum,PF,35,TOT,40,960,11.2,0.653,0.73,0.101,5.3,12.3,8.8,11.1,1.4,2.6,12.6,8.5,,1.4,0.9,2.3,0.117,,-0.4,0.7,0.3,0.6,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,9.7,0.5,0.875,0,0,14.2,7.3,11.1,2.7,6.6,11.1,7.3,,0,0.1,0.1,0.096,,-1.6,4.3,2.6,0.1,batumni01
34,Nicolas Batum,PF,35,PHI,37,906,11.3,0.661,0.722,0.106,5.7,12.2,8.9,11.1,1.3,2.4,12.7,8.5,,1.4,0.8,2.2,0.118,,-0.3,0.5,0.2,0.5,batumni01
35,Darius Bazley,PF,23,PHI,3,10,-1.6,0,0,0,0,11.2,5.5,22.8,0,0,50,8.5,,0,0,0,-0.146,,-7.6,-0.7,-8.3,0,bazleda01
36,Bradley Beal,SG,30,PHO,32,1033,15,0.589,0.312,0.219,3.2,11,7.3,21,1.3,0.8,14.2,24.1,,0.8,0.8,1.7,0.077,,-0.5,-1.5,-2,0,bealbr01
37,Malik Beasley,SG,27,MIL,59,1741,11.4,0.638,0.748,0.052,2.3,11.7,7.1,6.2,1.3,0.3,7,14,,2.1,1.4,3.4,0.095,,-0.1,-0.6,-0.7,0.5,beaslma01
38,MarJon Beauchamp,SF,23,MIL,44,585,9.2,0.593,0.461,0.184,4.2,13.4,9,6.6,1,0.9,14.1,14,,0.2,0.5,0.7,0.056,,-2.5,-0.9,-3.4,-0.2,beaucma01
39,Jules Bernard,SG,24,WAS,8,36,7.4,0.396,0.692,0.154,8.6,9.2,8.9,17.6,1.3,2.2,12.6,18.5,,-0.1,0,0,-0.053,,-3.9,-1.5,-5.4,0,bernaju01
40,Dāvis Bertāns,PF,31,TOT,23,209,16.7,0.675,0.923,0.231,1.1,8,4.5,8.3,1.4,2.2,2.3,18.3,,0.6,0.1,0.7,0.163,,3.7,-0.2,3.5,0.3,bertada01
40,Dāvis Bertāns,PF,31,OKC,15,91,17.2,0.675,0.923,0.577,2.6,9.3,6.1,12.1,1.6,3,3,16,,0.3,0.1,0.4,0.227,,3.2,0.8,4,0.1,bertada01
40,Dāvis Bertāns,PF,31,CHO,8,118,16.3,0.675,0.923,0.058,0,6.9,3.3,5.3,1.2,1.6,1.8,20.1,,0.2,0,0.3,0.114,,4.2,-1,3.1,0.2,bertada01
41,Patrick Beverley,PG,35,TOT,56,1069,11.7,0.542,0.46,0.239,4,13.7,8.8,20.4,1.3,1.7,14.7,15,,0.9,1,1.8,0.082,,-1.3,0,-1.3,0.2,beverpa01
41,Patrick Beverley,PG,35,PHI,47,919,11.6,0.547,0.452,0.261,3.6,14,8.7,20.5,1.3,1.8,15.4,14.8,,0.7,0.8,1.5,0.08,,-1.4,-0.1,-1.5,0.1,beverpa01
41,Patrick Beverley,PG,35,MIL,9,150,12.6,0.513,0.5,0.125,6.7,12,9.5,19.6,1.6,1.7,10.6,16.1,,0.2,0.1,0.3,0.097,,-0.8,0.8,0,0.1,beverpa01
42,Saddiq Bey,SF,24,ATL,59,1921,13.1,0.555,0.512,0.287,8.4,13.1,10.6,5.9,1.2,0.4,6.2,16.6,,2.8,0.5,3.3,0.082,,0.2,-2,-1.9,0.1,beysa01
43,Goga Bitadze,C,24,ORL,50,874,18,0.63,0.063,0.405,13.4,21.6,17.4,11.7,1.6,7.3,13.9,12.9,,1.7,1.7,3.5,0.19,,-0.4,3,2.6,1,bitadgo01
44,Onuralp Bitim,SG,24,CHI,4,49,6.7,0.576,0.615,0.154,0,23.4,11.4,2.7,0,0,12.6,14.2,,0,0,0,0.025,,-3.5,-0.4,-3.9,0,bitimon01
45,Bismack Biyombo,C,31,TOT,33,735,9.8,0.555,0,0.377,8.6,21.1,14.6,10,0.7,4.4,21.5,10.6,,0.1,0.9,1,0.068,,-4.9,1.5,-3.4,-0.3,biyombi01
45,Bismack Biyombo,C,31,MEM,30,718,9.9,0.56,0,0.387,8.4,21.3,14.6,10.1,0.7,4.4,21.4,10.7,,0.1,0.9,1,0.069,,-4.9,1.6,-3.3,-0.2,biyombi01
45,Bismack Biyombo,C,31,OKC,3,17,5.7,0.333,0,0,13.8,12.5,13.1,6.8,0,5.4,25,10.2,,0,0,0,-0.002,,-4.4,-1.4,-5.8,0,biyombi01
46,Anthony Black,PG,20,ORL,55,1005,8.5,0.566,0.364,0.34,3.3,11.2,7.2,11.1,1.5,1.7,16.9,12.5,,0.2,1.3,1.5,0.071,,-3.8,0.8,-2.9,-0.2,blackan01
47,Leaky Black,SF,24,CHO,22,218,10,0.554,0.385,0.359,3.9,16,9.7,10.8,1.1,2.5,10,10,,0.2,0.1,0.3,0.064,,-3.2,-0.2,-3.4,-0.1,blackle01
48,Bogdan Bogdanović,SG,31,ATL,58,1699,14.7,0.565,0.593,0.137,2.1,10.5,6.1,13.7,2,0.8,7.7,22.5,,2,0.7,2.7,0.077,,0.8,-0.7,0,0.9,bogdabo01
49,Bojan Bogdanović,PF-SF,34,TOT,36,1119,13.8,0.595,0.497,0.243,1.6,10.5,6,11.2,1.2,0.4,11.5,24.4,,0.6,0.4,1,0.045,,0.1,-2.3,-2.2,-0.1,bogdabo02
49,Bojan Bogdanović,PF,34,DET,28,921,14,0.6,0.487,0.245,1.5,10.1,5.7,11.8,1.2,0.4,11.8,24.5,,0.5,0.2,0.7,0.038,,0.3,-2.5,-2.1,0,bogdabo02
49,Bojan Bogdanović,SF,34,NYK,8,198,12.8,0.569,0.544,0.233,1.7,12.4,7,8.4,1.3,0.5,10,23.8,,0.1,0.2,0.3,0.076,,-1.1,-1.3,-2.4,0,bogdabo02
50,Bol Bol,PF,24,PHO,23,252,18.4,0.655,0.307,0.114,10.4,22.9,17,5.9,1,5.2,10.6,17.7,,0.4,0.4,0.8,0.153,,0.4,0.6,1,0.2,bolbo01
