PLAYER,POS.,AGE,EXP,TEAM,2023-24 AAV
Klay Thompson,SG,34,13, GSW,"$37,980,720 "
Tobias Harris,PF,31.6,13, PHI,"$36,000,000 "
James Harden,SG,34.5,14, LAC,"$34,320,000 "
Pascal Siakam,PF,29.9,8, IND,"$34,226,304 "
Gordon Hayward,SF,33.9,14, OKC,"$30,000,000 "
Kyle Lowry,PG,37.9,18, PHI,"$28,543,576 "
DeMar DeRozan,SF,34.5,15, CHI,"$27,300,000 "
Buddy Hield,SG,31.2,8, PHI,"$23,500,000 "
D'Angelo Russell,PG,28,9, LAL,"$18,000,000 "
Gary Trent Jr.,SG,25.1,6, TOR,"$17,280,000 "
Markelle Fultz,PG,25.8,7, ORL,"$16,666,667 "
Marcus Morris Sr.,SF,34.5,13, SAS,"$16,000,000 "
Jonas Valanciunas,C,31.8,12, NOP,"$15,067,500 "
Malik Beasley,SG,27.2,8, MIL,"$15,000,000 "
Tyus Jones,PG,27.8,9, WAS,"$14,500,000 "
Doug McDermott,SF,32.2,10, IND,"$13,750,000 "
Gary Harris,SG,29.4,10, ORL,"$13,000,000 "
Kelly Olynyk,PF,32.8,11, TOR,"$12,398,374 "
Robert Covington,PF,33.2,11, PHI,"$12,000,000 "
Nicolas Batum,SF,35.2,16, PHI,"$11,277,084 "
Talen Horton-Tucker,SG,23.2,5, UTA,"$10,260,000 "
Alec Burks,SG,32.6,13, NYK,"$10,012,800 "
Malik Monk,SG,26.1,7, SAC,"$9,709,025 "
Grayson Allen,SG,28.3,6, PHX,"$9,350,000 "
Monte Morris,PG,28.7,7, MIN,"$9,258,332 "
Royce O'Neale,SF,30.7,7, PHX,"$9,000,000 "
Kyle Anderson,PF,30.4,10, MIN,"$9,000,000 "
De'Anthony Melton,SG,25.8,6, PHI,"$8,656,922 "
Nicolas Claxton,C,24.8,5, BKN,"$8,625,000 "
Isaiah Hartenstein,C,25.8,6, NYK,"$8,000,000 "
Miles Bridges,SF,25.9,6, CHA,"$7,921,300 "
Cedi Osman,SF,28.8,7, SAS,"$7,779,711 "
Daniel Theis,C,31.9,7, LAC,"$6,928,876 "
Otto Porter Jr.,SF,30.8,11, UTA,"$6,150,000 "
Mason Plumlee,C,33.9,11, LAC,"$5,000,000 "
Taurean Prince,PF,29.9,8, LAL,"$4,516,000 "
Mike Muscala,C,32.7,11, OKC,"$3,500,000 "
Andre Drummond,C,30.5,12, CHI,"$3,280,000 "
Derrick Jones Jr.,SF,27,8, DAL,"$3,280,000 "
Reggie Bullock,SF,32.9,11, HOU,"$3,196,448 "
Garrett Temple,SG,37.8,14, TOR,"$3,196,448 "
Wesley Matthews,SG,37.3,15, MIL,"$3,196,448 "
JaVale McGee,C,36.1,16, SAC,"$3,196,448 "
Tristan Thompson,C,32.9,13, CLE,"$3,196,448 "
Markieff Morris,PF,34.5,13, DAL,"$3,196,448 "
Justin Holiday,SG,34.8,11, DEN,"$3,196,448 "
Cody Zeller,C,31.3,11, NOP,"$3,196,448 "
Jae Crowder,SF,33.6,12, MIL,"$3,196,448 "
Alex Len,C,30.7,11, SAC,"$3,196,448 "
DeAndre Jordan,C,35.6,16, DEN,"$3,196,448 "
Patrick Beverley,PG,35.6,12, MIL,"$3,196,448 "
Jordan Nwora,SF,25.4,4, TOR,"$2,900,000 "
Boban Marjanovic,C,35.5,9, HOU,"$2,891,467 "
Kelly Oubre Jr.,SF,28.2,9, PHI,"$2,891,467 "
Cameron Payne,PG,29.5,9, PHI,"$2,891,467 "
Dario Saric,PF,29.8,8, GSW,"$2,709,849 "
Udoka Azubuike,C,24.4,4, PHX,"$2,537,811 "
Dennis Smith Jr.,PG,26.2,7, BKN,"$2,528,233 "
Damian Jones,C,28.7,8, CLE,"$2,442,525 "
Lonnie Walker IV,SG,25.2,6, BKN,"$2,346,614 "
Mohamed Bamba,C,25.8,6, LAL,"$2,346,614 "
Aaron Holiday,PG,27.4,6, HOU,"$2,346,614 "
Sviatoslav Mykhailiuk,SG,26.7,6, BOS,"$2,346,614 "
Thanasis Antetokounmpo,SF,31.6,6, MIL,"$2,346,614 "
Luke Kornet,C,28.6,7, BOS,"$2,273,291 "
Moses Brown,C,24.3,5, POR,"$2,165,000 "
Bol Bol,PF,24.2,5, ORL,"$2,165,000 "
Jordan McLaughlin,PG,27.8,5, MIN,"$2,160,000 "
Lamar Stevens,SF,26.6,4, MEM,"$2,092,354 "
Anthony Gill,PF,31.3,4, WAS,"$1,916,664 "
Kris Dunn,PG,29.9,8, UTA,"$1,661,242 "
Xavier Tillman,C,25.1,4, BOS,"$1,632,821 "
Spencer Dinwiddie,PG,30.8,9, LAL,"$1,554,664 "
Kenyon Martin Jr.,PF,23.1,4, PHI,"$1,532,398 "
Goga Bitadze,C,24.6,5, ORL,"$1,339,383 "
Naji Marshall,SF,26.1,4, NOP,"$1,337,821 "
Luka Samanic,PF,24.1,5, UTA,"$1,249,690 "
James Johnson,PF,37,14, IND,"$1,230,816 "
Bismack Biyombo,C,31.5,13, OKC,"$1,194,075 "
Thaddeus Young,PF,35.7,17, PHX,"$1,010,371 "
Delon Wright,PG,31.8,9, MIA,"$947,205 "
Aleksej Pokusevski,PF,22.2,4, CHA,"$565,176 "
Trent Forrest,PG,25.7,4, ATL,"$553,151 "
Kendall Brown,SF,20.8,2, IND,-
Harry Giles,C,25.8,5, BKN,-
