,PLAYER,TEAM,AGE,GP,W,L,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,
1,Lindell Wigginton,MIL,25,3,3,0,8,41.2,50,45.5,0,40,100,100,0,0,0,0,50,0,0,0,50,100,54.5,
2,Joel Embiid,PHI,29,34,26,8,1157,38.6,39.4,35.9,15,14.9,57.9,56,38.2,35.5,36.1,29.2,45.2,19.8,43.8,36.6,21.9,51.9,41,
3,Luka Doncic,DAL,25,53,31,22,1985,35.4,34.2,33.9,32.2,32,51.1,49.3,10.8,32.1,27.3,50.2,41.4,27.9,15.1,24.2,14.8,42.4,36.5,
4,Giannis Antetokounmpo,MIL,29,59,39,20,2060,32,35.6,29,5,6.3,48.1,54.5,37.2,34.2,34.8,31.7,37.2,24.6,27,41.3,20.5,54.5,34.2,
5,Shai Gilgeous-Alexander,OKC,25,59,42,17,2037,31.8,33.8,31,13.1,13.6,54.3,52.6,14,20.1,18.8,34.1,26.2,34.7,18.1,27.2,18.1,46.4,34.8,
6,Anthony Edwards,MIN,22,58,40,18,2022,31.6,29.9,32.1,27.5,29.3,41,38.5,8.1,18.3,16.2,26.5,30.1,23.4,11.4,24.7,13.7,29.8,31.4,
7,LaMelo Ball,CHA,22,22,7,15,711,31.5,29.1,31.3,40.9,39,33,30,16.5,17.9,17.5,47.2,41.5,33.3,6.8,20.3,24.5,30,30.9,
8,Victor Wembanyama,SAS,20,55,13,42,1579,30.9,30.1,30.1,22.3,23.1,43.9,42.9,36.2,39.4,38.6,18.3,35.7,28.1,69.9,14.8,23.1,45,31.1,
9,Donovan Mitchell,CLE,27,47,32,15,1679,30.7,29.9,30.8,34.1,32.9,41.6,38.4,11.4,17.5,16.1,30.8,30.4,29.5,13.3,25.6,17.3,31.4,32.1,
10,Stephen Curry,GSW,35,57,32,25,1877,30.5,29.5,31.6,45.7,44,37.1,32.3,6.3,16.4,13.8,24.7,29.4,18.4,13.4,21.3,12.6,29.2,32.7,
11,De'Aaron Fox,SAC,26,51,30,21,1818,30.2,29.3,30.3,25.6,26.2,37.5,38.6,12.3,13.6,13.3,27.4,28.4,34.4,14.1,26.2,18,34.3,29.9,
12,Jaren Jackson Jr.,MEM,24,54,18,36,1723,29.9,30.5,29.8,21.1,22.2,45.1,42.9,19.7,20.3,20.2,13.3,25.3,20.2,36.7,40.1,27.1,43.4,31.7,
13,Kyle Kuzma,WAS,28,58,9,49,1850,29.8,29.6,30.6,29.9,30.5,26.1,25.6,17.7,26.8,24.9,20.7,31.1,10.2,19.2,19.4,16.6,23.6,29.2,
14,Ja Morant,MEM,24,9,6,3,318,29.6,29.6,29.8,16.1,20.4,42.6,40,10.3,20.3,18.2,42.9,27.6,15.2,11.1,44.4,15.1,33.3,30.2,
15,Jalen Brunson,NYK,27,57,35,22,2019,29.5,30.7,30.5,26.9,25,37.1,34.4,5.7,13,10.9,36.7,26,17.3,7,22.8,15.3,38.5,31.3,
16,Jayson Tatum,BOS,26,57,46,11,2036,29.4,28.2,29.1,25.4,26.6,43.6,43.3,11.6,28.2,24.8,24.7,28.2,20.4,12.4,34.8,16.6,34.5,30,
17,Cam Thomas,BKN,22,48,17,31,1431,29.3,28.9,30.5,25.7,25.4,40.1,36.5,5.6,12.7,10.9,16.1,22.5,17.6,7.6,40.1,16.9,33.5,30.1,
18,Devin Booker,PHX,27,50,31,19,1788,29.3,29.4,29.9,23.4,24.2,40,36.7,9.7,15.4,14.1,33.4,25.6,18.1,9.3,28.2,22.1,34.4,30.6,
19,Paolo Banchero,ORL,21,59,34,25,2053,29.3,27.6,28.5,19,19.1,36.9,39,14.3,25.2,22.5,29.2,28.7,16.6,13.8,33.7,13.4,31.8,28.4,
20,Trae Young,ATL,25,51,22,29,1862,29.2,24.7,27.1,31.2,30.1,42.5,40,4.3,9.6,8.1,53.3,42.3,23.3,5.9,25.6,14.5,39.6,28.4,
21,Cade Cunningham,DET,22,50,5,45,1689,28.9,27.9,29.2,25.7,25.7,33.6,30.1,5.4,16.1,13.3,40.3,30.7,20.4,11,29.6,16.5,25.7,28.5,
22,Nikola Jokic,DEN,29,59,41,18,2005,28.9,31.3,27.8,12.3,13.8,38.2,36.6,38.1,38.8,38.7,41.1,33.8,24,27.6,25.3,22.3,40.4,30.4,
23,Julius Randle,NYK,29,46,29,17,1630,28.7,27.3,27.6,16.2,20.1,35.6,35.7,23.3,28.6,27.2,27.5,33.7,9.9,9,36.6,20.6,30.9,27.4,
24,LeBron James,LAL,39,54,29,25,1895,28.6,29.7,28.4,26.9,24.6,29.7,31.7,14.1,24.7,22.7,37.3,33.1,22.8,14.5,24.6,10.8,28.1,29.4,
25,Kevon Harris,ORL,26,2,1,1,6,28.6,28.6,30,0,0,0,0,0,40,40,20,100,0,0,0,75,0,20,
26,Luka Garza,MIN,25,14,11,3,40,28.4,30.6,30.5,33.3,25.7,44.4,48,46.2,16.1,25,10.5,16.7,0,0,50,50,61.1,33.3,
27,Kevin Durant,PHX,35,54,30,24,2007,28.4,29.7,28.5,22.8,21.5,35.1,33.4,7.5,23.2,19.7,25.6,28.4,15.2,29.7,16.8,13.4,34.1,29.9,
28,Justin Champagnie,WAS,22,3,0,3,16,28.2,31.3,31.3,33.3,41.7,0,0,0,10,8.3,10,25,50,100,50,0,0,28.2,
29,Anfernee Simons,POR,24,36,9,27,1222,27.9,28.1,29,38.3,35.9,31,27.1,5.8,15,12.3,32.6,27.2,8.3,4.5,29.2,15.5,23.9,29.7,
30,Kyrie Irving,DAL,31,39,23,16,1336,27.9,30.3,30.1,26.9,24.7,27.6,23.9,10.2,18.6,16.6,27,20.6,25.8,12.9,22,14.1,21.5,29.5,
31,Dexter Dennis,DAL,25,4,1,3,30,27.8,47.6,34.5,33.3,40,5,10.7,16.7,32,29,30.8,27.3,0,25,0,11.1,16.7,33.8,
