No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Donte DiVincenzo,SG,4-Jun,203,January 31 1997,us,5,Villanova
3,Josh Hart,SF,4-Jun,215,March 6 1995,us,6,Villanova
55,Isaiah Hartenstein,C,Jul-00,250,May 5 1998,us,5,
11,Jalen Brunson,PG,2-Jun,190,August 31 1996,us,5,Villanova
30,Julius Randle,PF,8-Jun,250,November 29 1994,us,9,Kentucky
2,Miles McBride,PG,2-Jun,200,September 8 2000,us,2,West Virginia
45,Jericho Sims,C,10-Jun,245,October 20 1998,us,2,Texas
23,Mitchell Robinson,C,Jul-00,240,April 1 1998,us,5,Western Kentucky
5,Precious Achiuwa,PF,8-Jun,225,September 19 1999,ng,3,Memphis
8,OG Anunoby,SF,7-Jun,232,July 17 1997,gb,6,Indiana
44,Charlie Brown Jr.  (TW),SG,6-Jun,199,February 2 1997,us,3,Saint Joseph's
0,Jacob Toppin  (TW),SF,9-Jun,205,May 8 2000,us,R,Rhode Island Kentucky
18,Alec Burks,SG,6-Jun,214,July 20 1991,us,12,Colorado
44,Bojan Bogdanović,SF,7-Jun,226,April 18 1989,ba,9,
1,Duane Washington Jr.  (TW),SG,3-Jun,210,March 24 2000,de,2,Ohio State
