Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,54,15,1213,7.4,14.9,0.496,0.9,3.3,0.259,6.6,11.6,0.563,2.2,3.5,0.616,5.9,8.4,14.4,2.9,1.4,1.9,2.4,4.2,17.8,,114,114,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,437,8.6,18.8,0.459,1.4,5.2,0.277,7.2,13.6,0.528,2.7,4.6,0.571,5.5,9.5,15,4.9,1.8,1.3,3.2,4.4,21.3,,107,115,achiupr01
1,Precious Achiuwa,PF,24,NYK,29,15,776,6.7,12.7,0.528,0.5,2.2,0.235,6.2,10.5,0.589,1.9,2.8,0.659,6.2,7.8,14,1.8,1.2,2.2,2,4.1,15.8,,121,113,achiupr01
2,Bam Adebayo,C,26,MIA,50,50,1731,11.1,21.6,0.517,0,0.3,0.083,11.1,21.2,0.524,6.9,8.9,0.777,3.2,11.7,14.9,5.8,1.5,1.4,3.6,3.6,29.2,,114,110,adebaba01
3,Ochai Agbaji,SG,23,TOT,60,11,1147,5.4,12.8,0.418,2.3,7.1,0.32,3.1,5.7,0.54,0.9,1.2,0.75,1.8,4.3,6.2,2.3,1.3,1.4,1.8,3.3,13.9,,105,121,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,1003,5.1,11.9,0.426,2.2,6.8,0.331,2.8,5.1,0.551,0.7,1,0.75,1.7,4.4,6,2.2,1.3,1.4,1.6,3.2,13.1,,107,121,agbajoc01
3,Ochai Agbaji,SG,23,TOR,9,1,144,7.4,19.1,0.386,2.3,9.1,0.259,5,10.1,0.5,2,2.7,0.75,3,4,7,2.7,1,1.3,2.7,4.4,19.1,,96,120,agbajoc01
4,Santi Aldama,PF,23,MEM,49,23,1236,7.6,17.9,0.427,3.2,9.4,0.345,4.4,8.5,0.519,1.5,2.6,0.6,2.3,8.6,10.9,4.1,1.3,1.4,2.3,2.9,20.1,,105,114,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,61,16,1403,5.5,13,0.423,3.1,8.3,0.373,2.4,4.7,0.511,1.2,1.5,0.767,0.8,3.4,4.2,5.5,1.7,1.2,2,3.9,15.3,,112,111,alexani01
6,Grayson Allen,SG,28,PHO,55,55,1830,6.1,12.4,0.491,3.7,7.9,0.463,2.4,4.5,0.541,2.5,2.8,0.888,0.9,4.7,5.7,4.5,1.2,1,1.9,3.2,18.4,,129,118,allengr01
7,Jarrett Allen,C,25,CLE,55,55,1717,10.2,16.1,0.633,0,0.1,0,10.2,15.9,0.639,4.5,6.1,0.729,5.2,11.2,16.4,4.3,1.2,1.8,2.7,3.4,24.8,,130,109,allenja01
8,Jose Alvarado,PG,25,NOP,40,0,679,7.3,17.5,0.418,3.6,10.1,0.355,3.7,7.4,0.505,1.9,2.9,0.675,1.1,5.2,6.3,5.6,3.2,1,2.2,4.2,20.1,,111,111,alvarjo01
9,Kyle Anderson,PF,30,MIN,59,4,1291,5.4,11.5,0.472,0.3,1.3,0.2,5.2,10.2,0.508,2.8,4,0.712,1.7,6.2,7.9,9.1,1.8,1.2,2.8,3.4,13.9,,114,109,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,59,59,2060,15.7,25.4,0.619,0.7,2.4,0.301,15,23,0.652,9.9,15,0.661,3.5,11.9,15.4,8.6,1.7,1.4,4.6,4,42,,127,112,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,26,0,123,4.6,9.3,0.5,0,0.4,0,4.6,8.9,0.522,0,0.8,0,2.3,1.5,3.9,5,1.2,1.5,4.3,8.1,9.3,,89,118,antetth01
12,Cole Anthony,PG,23,ORL,60,0,1375,8.8,20.3,0.432,2.3,6.9,0.326,6.5,13.4,0.487,5.4,6.6,0.831,1.8,6.8,8.6,6.7,1.8,0.9,3.6,5.3,25.2,,110,112,anthoco01
13,OG Anunoby,SF,26,TOT,41,41,1400,8.3,16.7,0.498,3,7.9,0.379,5.3,8.8,0.606,2.3,2.9,0.774,1.4,4.6,6,3.2,1.9,1,2.2,3.4,21.9,,116,117,anunoog01
13,OG Anunoby,SF,26,TOR,27,27,900,8.4,17.2,0.489,3.3,8.8,0.374,5.2,8.5,0.608,1.8,2.5,0.717,1.3,4.4,5.7,3.9,1.5,0.7,2.3,3.3,21.9,,113,119,anunoog01
13,OG Anunoby,SF,26,NYK,14,14,500,8.1,15.7,0.516,2.5,6.4,0.391,5.6,9.3,0.602,3.2,3.8,0.842,1.5,5,6.5,2.1,2.5,1.5,1.9,3.4,21.9,,123,112,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6.7,0,0,6.7,0,0,0,,0,0,,0,8.9,8.9,4.4,2.2,0,2.2,5.6,0,,32,113,arcidry01
15,Deni Avdija,SF,23,WAS,57,57,1618,8.2,16.1,0.51,2,4.7,0.412,6.3,11.4,0.551,3.9,5.3,0.745,1.7,9.2,10.9,6.2,1.3,0.7,3.3,4.1,22.3,,114,119,avdijde01
16,Deandre Ayton,C,25,POR,40,40,1263,10.3,18.1,0.57,0,0,,10.3,18.1,0.57,1.6,2,0.824,4.7,11.8,16.5,2.7,1.6,1.2,2.7,3.5,22.3,,115,113,aytonde01
17,Udoka Azubuike,C,24,PHO,14,0,107,7.3,10,0.727,0,0,,7.3,10,0.727,1.4,5,0.273,5,9.5,14.5,1.4,0.5,2.7,1.8,7.7,15.9,,124,114,azubuud01
18,Ibou Badji,C,21,POR,18,1,203,2.9,4.6,0.632,0,0,,2.9,4.6,0.632,1.2,2.4,0.5,4.6,7,11.6,3.1,0.5,4.8,3.4,10.2,7,,104,114,badjiib01
19,Marvin Bagley III,C,24,TOT,43,21,909,10.6,18.3,0.581,0.3,0.9,0.294,10.4,17.5,0.595,4.5,6.1,0.744,6.1,7.6,13.7,2.6,0.8,1.5,2.6,4,26.1,,122,120,baglema01
19,Marvin Bagley III,C,24,DET,26,10,478,10.7,18.1,0.591,0.1,0.6,0.167,10.6,17.5,0.606,5,6.1,0.82,4.6,7.2,11.8,2.7,0.5,1.4,2.9,4,26.6,,122,121,baglema01
19,Marvin Bagley III,C,24,WAS,17,11,431,10.6,18.5,0.57,0.4,1.2,0.364,10.1,17.4,0.584,4,6,0.661,7.7,8,15.6,2.5,1.2,1.5,2.4,4,25.6,,122,120,baglema01
20,Amari Bailey,PG,19,CHO,3,0,15,6.5,22.9,0.286,0,9.8,0,6.5,13.1,0.5,3.3,6.5,0.5,6.5,0,6.5,3.3,0,0,3.3,0,16.3,,78,128,baileam01
21,Patrick Baldwin Jr.,SF,21,WAS,20,0,152,5.5,14.4,0.383,3.4,8.3,0.407,2.1,6.1,0.35,2.4,3.7,0.667,2.1,11,13.1,2.4,0.6,1.2,1.8,6.7,16.8,,104,119,baldwpa01
22,LaMelo Ball,PG,22,CHO,22,22,711,12.6,29.2,0.433,4.8,13.6,0.355,7.8,15.6,0.5,6.2,7.2,0.865,2,5.8,7.8,12.1,2.8,0.3,5.7,5.4,36.3,,110,118,ballla01
23,Mo Bamba,C,25,PHI,38,2,422,6.8,14.4,0.472,1.6,3.8,0.424,5.2,10.6,0.489,2.4,3.8,0.636,6.2,10.6,16.9,3.1,1.5,4.3,3.1,6.7,17.7,,112,109,bambamo01
24,Paolo Banchero,PF,21,ORL,59,59,2053,11.5,25,0.461,2.1,5.9,0.36,9.4,19,0.492,7.2,10.2,0.705,1.6,8.1,9.7,7.4,1.4,0.7,4.3,2.8,32.4,,110,112,banchpa01
25,Desmond Bane,SG,25,MEM,37,37,1277,12.6,26.6,0.474,4.7,12.2,0.384,7.9,14.4,0.551,4.6,5.3,0.864,1.3,5.2,6.5,7.5,1.5,0.8,3.8,4,34.5,,114,116,banede01
26,Dalano Banton,PG,24,TOT,32,1,306,7.9,18.8,0.419,1.4,5.9,0.243,6.4,12.8,0.5,5,6.9,0.721,3.4,6.6,9.9,5.1,1.6,1,3.4,5,22.1,,106,114,bantoda01
26,Dalano Banton,PG,24,BOS,24,1,171,5.4,14.6,0.373,0.6,4.6,0.125,4.9,10,0.486,4.6,5.7,0.8,3.4,6.6,10,5.4,1.4,0.9,2.9,5.7,16,,106,112,bantoda01
26,Dalano Banton,PG,24,POR,8,0,135,10.9,24,0.455,2.5,7.6,0.333,8.4,16.4,0.511,5.5,8.4,0.652,3.3,6.6,9.8,4.7,1.8,1.1,4,4,29.9,,106,116,bantoda01
27,Dominick Barlow,PF,20,SAS,24,1,307,6.2,12.9,0.476,0.5,1.1,0.429,5.7,11.9,0.481,3.4,5.2,0.647,5.1,7.9,12.9,4,1.4,1.8,0.8,5.1,16.2,,124,117,barlodo01
28,Harrison Barnes,PF,31,SAC,59,59,1745,6.9,14.2,0.484,3.1,7.8,0.401,3.8,6.4,0.586,3,3.7,0.805,1.3,3.5,4.8,1.8,1.2,0.2,1.1,2.1,19.8,,124,120,barneha02
29,Scottie Barnes,SG,22,TOR,60,60,2094,10.3,21.7,0.475,2.3,6.8,0.341,8,14.9,0.536,4.5,5.8,0.781,3.3,8.1,11.4,8.4,1.7,2,3.8,2.7,27.5,,115,115,barnesc01
30,RJ Barrett,SG,23,TOT,50,50,1568,11.2,23.1,0.486,2.6,7,0.366,8.7,16.1,0.539,5.4,7.6,0.714,1.3,6.9,8.3,4.9,0.8,0.5,3.1,3.3,30.5,,113,118,barrerj01
30,RJ Barrett,SG,23,NYK,26,26,766,10.7,25.3,0.423,2.8,8.5,0.331,7.9,16.8,0.469,6.7,8.1,0.831,1.2,6,7.2,4.1,0.8,0.6,3.1,2.9,30.9,,110,117,barrerj01
30,RJ Barrett,SG,23,TOR,24,24,802,11.8,21.1,0.557,2.4,5.7,0.415,9.4,15.4,0.609,4.2,7.1,0.59,1.4,7.8,9.2,5.7,0.9,0.5,3.1,3.7,30,,116,119,barrerj01
31,Charles Bassey,C,23,SAS,19,0,205,6.7,9.2,0.725,0,0.2,0,6.7,9,0.744,1.2,1.4,0.833,5.3,12.2,17.5,4.8,1.8,3.9,3.5,7.1,14.5,,126,111,bassech01
