No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Scottie Barnes,SG,7-Jun,227,August 1 2001,us,2,Florida State
33,Gary Trent Jr.,SG,5-Jun,209,January 18 1999,us,5,Duke
25,Chris Boucher,PF,9-Jun,200,January 11 1993,lc,6,Oregon
19,Jakob Poeltl,C,Jul-00,245,October 15 1995,at,7,Utah
1,Gradey Dick,SG,6-Jun,205,November 20 2003,us,R,Kansas
2,Jalen McDaniels,SF,9-Jun,205,January 31 1998,us,4,San Diego State
5,Immanuel Quickley,PG,3-Jun,190,June 17 1999,us,3,Kentucky
9,RJ Barrett,SG,6-Jun,214,June 14 2000,ca,4,Duke
34,Jontay Porter  (TW),PF,11-Jun,240,November 15 1999,us,1,Missouri
14,Garrett Temple,SG,5-Jun,195,May 8 1986,us,13,LSU
11,Bruce Brown,PG,4-Jun,202,August 15 1996,us,5,Miami (FL)
13,Jordan Nwora,SF,8-Jun,225,September 9 1998,us,3,Louisville
0,Javon Freeman-Liberty  (TW),PG,4-Jun,180,October 20 1999,us,R,Valparaiso DePaul
24,Markquis Nowell  (TW),SG,8-May,160,December 25 1999,us,R,Little Rock Kansas State
41,Kelly Olynyk,C,11-Jun,240,April 19 1991,ca,10,Gonzaga
30,Ochai Agbaji,SG,5-Jun,215,April 20 2000,us,1,Kansas
