No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Norman Powell,SG,3-Jun,215,May 25 1993,us,8,UCLA
0,Russell Westbrook,PG,4-Jun,200,November 12 1988,us,15,UCLA
13,Paul George,PF,8-Jun,220,May 2 1990,us,13,Fresno State
2,Kawhi Leonard,SF,7-Jun,225,June 29 1991,us,11,San Diego State
1,James Harden,PG,5-Jun,220,August 26 1989,us,14,Arizona State
14,Terance Mann,SG,5-Jun,215,October 18 1996,us,4,Florida State
40,Ivica Zubac,C,Jul-00,240,March 18 1997,ba,7,
10,Daniel Theis,C,8-Jun,245,April 4 1992,de,6,
7,Amir Coffey,SF,7-Jun,210,June 17 1997,us,4,Minnesota
21,Kobe Brown,PF,7-Jun,250,January 1 2000,us,R,Missouri
44,Mason Plumlee,C,10-Jun,254,March 5 1990,us,10,Duke
5,Bones Hyland,PG,2-Jun,173,September 14 2000,us,2,VCU
4,Brandon Boston Jr.,SF,7-Jun,185,November 28 2001,us,2,Kentucky
17,P.J. Tucker,PF,5-Jun,245,May 5 1985,us,12,Texas
25,Moussa Diabaté  (TW),C,11-Jun,210,January 21 2002,fr,1,Michigan
11,Jordan Miller  (TW),SF,7-Jun,195,January 23 2000,us,R,George Mason Miami (FL)
22,Xavier Moon  (TW),SG,2-Jun,165,January 2 1995,us,2,Northwest Florida State College Morehead State University
12,Joshua Primo,SG,6-Jun,190,December 24 2002,ca,2,Alabama
