Player,No.,Pos,Ht,Wt,Birth Date,Nationality,Exp,College
Donte DiVincenzo,0,SG,4-Jun,203,January 31 1997,us,5,Villanova
Josh Hart,3,SF,4-Jun,215,March 6 1995,us,6,Villanova
Isaiah Hartenstein,55,C,Jul-00,250,May 5 1998,us,5,NULL
Jalen Brunson,11,PG,2-Jun,190,August 31 1996,us,5,Villanova
Julius Randle,30,PF,8-Jun,250,November 29 1994,us,9,Kentucky
Miles McBride,2,PG,2-Jun,200,September 8 2000,us,2,West Virginia
Jericho Sims,45,C,10-Jun,245,October 20 1998,us,2,Texas
Mitchell Robinson,23,C,Jul-00,240,April 1 1998,us,5,Western Kentucky
Precious Achiuwa,5,PF,8-Jun,225,September 19 1999,ng,3,Memphis
OG Anunoby,8,SF,7-Jun,232,July 17 1997,gb,6,Indiana
Charlie Brown Jr.  (TW),44,SG,6-Jun,199,February 2 1997,us,3,Saint Joseph's
Jacob Toppin  (TW),0,SF,9-Jun,205,May 8 2000,us,R,Rhode Island Kentucky
Alec Burks,18,SG,6-Jun,214,July 20 1991,us,12,Colorado
Bojan Bogdanović,44,SF,7-Jun,226,April 18 1989,ba,9,NULL
Duane Washington Jr.  (TW),1,SG,3-Jun,210,March 24 2000,de,2,Ohio State
Scottie Barnes,4,SG,7-Jun,227,August 1 2001,us,2,Florida State
Gary Trent Jr.,33,SG,5-Jun,209,January 18 1999,us,5,Duke
Chris Boucher,25,PF,9-Jun,200,January 11 1993,lc,6,Oregon
Jakob Poeltl,19,C,Jul-00,245,October 15 1995,at,7,Utah
Gradey Dick,1,SG,6-Jun,205,November 20 2003,us,R,Kansas
Jalen McDaniels,2,SF,9-Jun,205,January 31 1998,us,4,San Diego State
Immanuel Quickley,5,PG,3-Jun,190,June 17 1999,us,3,Kentucky
RJ Barrett,9,SG,6-Jun,214,June 14 2000,ca,4,Duke
Jontay Porter  (TW),34,PF,11-Jun,240,November 15 1999,us,1,Missouri
Garrett Temple,14,SG,5-Jun,195,May 8 1986,us,13,LSU
Bruce Brown,11,PG,4-Jun,202,August 15 1996,us,5,Miami (FL)
Jordan Nwora,13,SF,8-Jun,225,September 9 1998,us,3,Louisville
Javon Freeman-Liberty  (TW),0,PG,4-Jun,180,October 20 1999,us,R,Valparaiso DePaul
Markquis Nowell  (TW),24,SG,8-May,160,December 25 1999,us,R,Little Rock Kansas State
Kelly Olynyk,41,C,11-Jun,240,April 19 1991,ca,10,Gonzaga
Ochai Agbaji,30,SG,5-Jun,215,April 20 2000,us,1,Kansas
Chet Holmgren,7,C,1-Jul,195,May 1 2002,us,R,Gonzaga
Cason Wallace,22,SG,4-Jun,193,November 7 2003,us,R,Kentucky
Shai Gilgeous-Alexander,2,PG,6-Jun,180,July 12 1998,ca,5,Kentucky
Josh Giddey,3,SG,8-Jun,210,October 10 2002,au,2,NULL
Luguentz Dort,5,SF,3-Jun,215,April 19 1999,ca,4,Arizona State
Aaron Wiggins,21,SG,6-Jun,200,January 2 1999,us,2,Maryland
Isaiah Joe,11,SG,4-Jun,165,July 2 1999,us,3,Arkansas
Jalen Williams,8,PF,5-Jun,195,April 14 2001,us,1,Santa Clara
Jaylin Williams,6,C,9-Jun,240,June 29 2002,us,1,Arkansas
Kenrich Williams,34,PF,6-Jun,210,December 2 1994,us,5,TCU
Ousmane Dieng,13,PF,10-Jun,216,May 21 2003,fr,1,NULL
Lindy Waters III  (TW),12,SG,6-Jun,215,July 28 1997,us,2,Oklahoma State
Olivier Sarr  (TW),30,C,Jul-00,237,February 20 1999,fr,2,Wake Forest Kentucky
Aleksej Pokusevski,17,PF,Jul-00,190,December 26 2001,rs,3,NULL
Keyontae Johnson  (TW),18,SF,5-Jun,230,May 24 2000,us,R,Florida Kansas State
Gordon Hayward,33,SF,7-Jun,225,March 23 1990,us,13,Butler
Norman Powell,24,SG,3-Jun,215,May 25 1993,us,8,UCLA
Russell Westbrook,0,PG,4-Jun,200,November 12 1988,us,15,UCLA
Paul George,13,PF,8-Jun,220,May 2 1990,us,13,Fresno State
Kawhi Leonard,2,SF,7-Jun,225,June 29 1991,us,11,San Diego State
James Harden,1,PG,5-Jun,220,August 26 1989,us,14,Arizona State
Terance Mann,14,SG,5-Jun,215,October 18 1996,us,4,Florida State
Ivica Zubac,40,C,Jul-00,240,March 18 1997,ba,7,NULL
Daniel Theis,10,C,8-Jun,245,April 4 1992,de,6,NULL
Amir Coffey,7,SF,7-Jun,210,June 17 1997,us,4,Minnesota
Kobe Brown,21,PF,7-Jun,250,January 1 2000,us,R,Missouri
Mason Plumlee,44,C,10-Jun,254,March 5 1990,us,10,Duke
Bones Hyland,5,PG,2-Jun,173,September 14 2000,us,2,VCU
Brandon Boston Jr.,4,SF,7-Jun,185,November 28 2001,us,2,Kentucky
P.J. Tucker,17,PF,5-Jun,245,May 5 1985,us,12,Texas
Moussa Diabaté  (TW),25,C,11-Jun,210,January 21 2002,fr,1,Michigan
Jordan Miller  (TW),11,SF,7-Jun,195,January 23 2000,us,R,George Mason Miami (FL)
Xavier Moon  (TW),22,SG,2-Jun,165,January 2 1995,us,2,Northwest Florida State College Morehead State University
Joshua Primo,12,SG,6-Jun,190,December 24 2002,ca,2,Alabama
