No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Chet Holmgren,C,1-Jul,195,May 1 2002,us,R,Gonzaga
22,Cason Wallace,SG,4-Jun,193,November 7 2003,us,R,Kentucky
2,Shai Gilgeous-Alexander,PG,6-Jun,180,July 12 1998,ca,5,Kentucky
3,Josh Giddey,SG,8-Jun,210,October 10 2002,au,2,
5,Luguentz Dort,SF,3-Jun,215,April 19 1999,ca,4,Arizona State
21,Aaron Wiggins,SG,6-Jun,200,January 2 1999,us,2,Maryland
11,Isaiah Joe,SG,4-Jun,165,July 2 1999,us,3,Arkansas
8,Jalen Williams,PF,5-Jun,195,April 14 2001,us,1,Santa Clara
6,Jaylin Williams,C,9-Jun,240,June 29 2002,us,1,Arkansas
34,Kenrich Williams,PF,6-Jun,210,December 2 1994,us,5,TCU
13,Ousmane Dieng,PF,10-Jun,216,May 21 2003,fr,1,
12,Lindy Waters III  (TW),SG,6-Jun,215,July 28 1997,us,2,Oklahoma State
30,Olivier Sarr  (TW),C,Jul-00,237,February 20 1999,fr,2,Wake Forest Kentucky
17,Aleksej Pokusevski,PF,Jul-00,190,December 26 2001,rs,3,
18,Keyontae Johnson  (TW),SF,5-Jun,230,May 24 2000,us,R,Florida Kansas State
33,Gordon Hayward,SF,7-Jun,225,March 23 1990,us,13,Butler
